ID,NAME,CODE
0,AIR DE COMBUSTION,AC
1,AIR INSTRUMENT,AI
2,AIR SERVICE,AS
3,LIGNE VERS L'ATMOSPHERE,ATM
4,AMINE,B
5,SLUGE FROM SEPARATOR,BB
6,CONDENSATS DE VAPEUR BP,CB
7,CONDENSATS DE VAPEUR HP,CH
8,CONDENSATS DE VAPEUR MP,CM
9,CONDENSATS POLLUES,CP
10,CONDENSATS SOUS VIDE,CV
11,VENT,D
12,EAU BRUTE,EB
13,EAU CHAUDE (ALLER ET RETOUR),EC
14,EAU DEMINERALISEE AVANT DEGAZEUR,ED
15,EAU DE CHAUDIERE DEGAZEE,EE
16,EAUX NON HUILEUSES,EG
17,EAUX HUILEUSES,EH
18,EAU INCENDIE,EI
19,EAU POTABLE,EP
20,EAU DE REFROIDISSEMENT (ALLER ET RETOUR),ER
21,EAU DE REFROIDISSEMENT TEMPEREE,ERT
22,EAU DE SERVICE,ES
23,POLLUTED PROCESS WATER (FOR PHOENIX PROJECT),EV
24,EAU DE PROCEDE POLLUE,EW
25,EAU TRAITEE,ET
26,GAZ COMBUSTIBLE,FG
27,FLUSHING OIL,FLO
28,COMBUSTIBLE LIQUIDE,FO
29,AZOTE,GA
30,"HYDROGENE (CONSIDERE COMME ""UTILITES"")",GH
31,GAZ INERTE,GI
32,GUMS,GU
33,VEGETABLE OIL (BLEACHING),HB
34,VEGETABLE OIL (DEGUMMING),HD
35,HUILE D'ETANCHEITE,HE
36,HUILE DE LUBRIFICATION,HL
37,HUILE DE REGULATION,HR
38,BOUCLE D'HUILE CHAUDE (ALLER ET RETOUR),HO
39,PRODUICT PETROLIERS (HYDROCARBURES),P
40,VEGETABLE OIL DRAIN,PHV
41,PURGES RECUPEREES (HYDROCARBURES),PR
42,PURGES RECUPEREES (PRODUITS CHIMIQUES),PZ
43,TORCHE ACIDE,SA
44,TORCHE NON ACIDE,SB
45,SLOPS LEGERS,SL
46,SLOPS LOURDS,SN
47,SODIUM HYDROXIDE,SY
48,BLEACHING EARTH (HOLD),TB
49,VAPEUR BASSE PRESSION,VB
50,HP STEAM,HS
51,VAPEUR HAUT PRESSION (FOR PHOENIX PROJECT),VH
52,VAPEUR MOYENNE PRESSION,VM
53,VAPEUR MOYENNE BASSE PRESSION (FOR PHOENIX PROJECT),VMB
54,VAPEUR TRES BASSE PRESSION,VR
55,VAPEUR DE STRIPPING (OU STRIPAGE),VS
56,VAPEUR STEAM OUT-POUR PCF EXISTANTS,VU
57,PRODUITS CHIMIQUES (FOR PHOENIX PROJECT),Z
58,CHEMICALS,ZA
