AREA,TYPE,TAG,PROGRESS
3000_SHE,D,3000_SHE-1_Foundation.ifc,30
3000_SHE,D,3000_SHE-2_Foundation.ifc,30
3000_SHE,C,3000_SHE-2_Siding.ifc,30
3000_SHE,D,3000_SHE-3_Foundation.ifc,30
3000_SHE,C,3000_SHE-3_Main-Steel.ifc,30
3000_SHE,C,3000_SHE-3_Siding.ifc,30
3000_SHE,C,3000_SHE-2_Main-Steel.ifc,30
3000_SHE,C,3000_SHE-1_Siding.ifc,30
3000_SHE,C,3000_SHE-1_Main-Steel.ifc,30
3000_STR,A,3000_STR-1_Terciary.ifc,30
3000_STR,D,3000_STR-2_Foundation.ifc,30
3000_STR,A,3000_STR-2_Fireproofing.ifc,30
3000_STR,A,3000_STR-2_Stairs.ifc,30
3000_STR,A,3000_STR-2_Grating.ifc,30
3000_STR,A,3000_STR-2_Terciary.ifc,30
3000_STR,A,3000_STR-1_Main-Steel.ifc,30
3000_STR,A,3000_STR-1_Grating.ifc,30
3000_STR,A,3000_STR-2_Main-Steel.ifc,30
3000_STR,D,3000_STR-1_Foundation.ifc,30
3000_PR,E,3000_PR-1_Foundation.ifc,30
3000_PR,B,3000_PR-1_Main-Steel.ifc,30
3000_STR,A,3000_STR-1_Fireproofing.ifc,30
3000_STR,A,3000_STR-1_Stairs.ifc,30
3000_PR,E,3000_PR-2_Foundation.ifc,30
3000_PR,B,3000_PR-2_Grating.ifc,30
3000_PR,B,3000_PR-2_Main-Steel.ifc,30
3000_PR,B,3000_PR-2_Terciary.ifc,30
3000_Equip_Foundation.ifc,F,3000_Equip_Foundation.ifc,30
