AREA,TYPE,TAG,PROGRESS
30RK1,A,A-6306,30
30A11,E,E-3023,30
30A11,E,E-3003,30
30A11,K,K-3021,30
30A11,V,V-3024,30
30A11,P,P-3023A,30
30A11,P,P-3023B,30
30A11,P,P-3047A,30
30A11,P,P-3047B,30
30A11,P,P-3042A,30
30A11,P,P-3042B,30
30A11,A,A-3002,30
30A11,E,E-3029,30
30A11,E,E-3006,30
30A11,E,E-3020,30
30A12,C,C-3026,30
30A12,E,E-3026,30
30A12,E,E-3028-B,30
30A12,E,E-3025-A,30
30A12,E,E-3025-B,30
30A12,E,E-3019,30
30A12,E,E-3022,30
30A12,E,E-3024,30
30A12,V,V-3023,30
30A12,S,S-3022,30
30A12,C,C-3022,30
30A12,E,E-3021,30
30A12,V,V-3021,30
30A12,C,C-3024,30
30A12,C,C-3021,30
30A12,P,P-3022B,30
30A12,P,P-3028B,30
30A12,J,J-3021B,30
30A12,J,J-3021A,30
30A12,P,P-3029,30
30A12,P,P-3022A,30
30A12,C,C-3025,30
30A12,P,P-3028A,30
30A12,P,P-3026A,30
30A12,P,P-3026B,30
30A13,P,P-3045A,30
30A13,P,P-3045B,30
30A13,P,P-3046A,30
30A13,P,P-3046B,30
30A13,P,P-3043A,30
30A13,P,P-3043B,30
30A13,P,P-3024B,30
30A13,P,P-3044A,30
30A13,C,C-3042,30
30A13,E,E-3045,30
30A13,V,V-3042,30
30A13,E,E-3047,30
30A13,E,E-3050,30
30A13,E,E-3046,30
30A13,K,K-3041,30
30A13,V,V-3045,30
30A13,P,P-3024A,30
30A13,E,E-3044,30
30A13,E,E-3048,30
30A13,E,E-3049,30
30A13,E,E-3035,30
30A13,E,E-3036,30
30A13,P,P-3044B,30
30A14,P,P-3012A,30
30A14,V,V-3012,30
30A14,T,T-3052,30
30A14,PJ,PJ-3066,30
30A14,P,P-3069A,30
30A14,E,E-3066,30
30A14,P,P-3052A,30
30A14,P,P-3052B,30
30A14,A,A-3006,30
30A14,E,E-3041B,30
30A14,E,E-3041A,30
30A14,E,E-3042,30
30A14,E,E-3040,30
30A14,P,P-3051B,30
30A14,P,P-3051A,30
30A14,P,P-3066A,30
30A14,E,E-3068,30
30A14,C,C-3044,30
30A14,P,P-3066B,30
30A14,V,V-3041,30
30A14,P,P-3002,30
30A14,E,E-3030,30
30A14,E,E-3053,30
30A14,P,P-3030A,30
30A14,P,P-3030B,30
30A14,V,V-3006,30
30A14,V,V-3030,30
30A14,P,P-3035B,30
30A14,P,P-3041B,30
30A14,A,A-3022,30
30A14,P,P-3069B,30
30A14,P,P-3041A,30
30A14,E,E-3043,30
30A14,P,P-3048B,30
30A14,P,P-3048A,30
30A14,P,P-3012B,30
30A15,V,V-3001,30
30A15,V,V-3005,30
30A15,E,E-3001,30
30A15,V,V-3004,30
30A15,P,P-3001,30
30A15,S,S-3003A,30
30A15,S,S-3003B,30
30A15,S,S-3001,30
30A15,S,S-3004A,30
30A15,S,S-3004B,30
30A15,S,S-3002A,30
30A15,S,S-3002B,30
30A15,S,S-3005,30
30A15,V,V-3007,30
30A16,A,A-3003A,30
30A16,A,A-3003B,30
80A11,P,P-8001-C,30
80A11,P,P-8001-A,30
80A11,A,A-8001,30
80A11,P,P-8001-B,30
90A11,A,A-3001-A,30
90A11,A,A-3001-B,30
90A11,A,A-3001-C,30
90A11,T,T-3021,30
90A11,P,P-3021,30
90A11,S,S-3021,30
30A11,C,C-3023,30
30A12,V,V-3022,30
30A12,E,E-3028-A,30
30A12,P,P-3025A,30
30A12,P,P-3025B,30
30A14,C,C-3041,30
30A14,C,C-3043,30
30A14,P,P-3035A,30
30A14,C,C-3066,30
30A14,V,V-3035,30
30A15,V,V-3008,30
30A15,V,V-3003,30
30A15,V,V-3002,30
30A15,A,A-9202B,30
30A15,E,E-3008,30
30A15,A,A-3024,30
30A15,A,A-9202A,30
30A15,E,E-3002,30
30A15,A,A-9101A,30
30A15,A,A-9101B,30
30A14,E,E-3067,30
30A15,R,R-3001,60
30A15,M,M-3001,30
