AREA,TAG,DIAMETER,CALC_NOTES,PID,ISO,STRESS,SUPPORT
30RK1,30RK1-1-OX-00106-36022-01,25,unset,0,30,0,0
30RK1,30RK1-2-CH4-00103-11001-01,50,unset,50,30,0,0
30RK1,30RK1-8-LPS-601XX-11261-H-01,200,unset,50,60,0,0
30RK1,30RK1-10-MPS-00210-31261-H-01,250,unset,50,60,0,0
30RK1,30RK1-10-MPS-60313-31261-H-01,250,unset,50,60,0,0
30RK1,30RK1-18-MPS-90201-11261-H-01,450,unset,50,60,0,0
30RK1,30RK1-10-LPS-90212-11261-H-01,250,unset,50,60,0,0
30RK1,30RK1-6-BFW-00203-61261-H-01,150,unset,50,60,0,0
30RK1,30RK1-4-DMW-00204-13081-01,100,unset,50,60,0,0
30RK1,30RK1-6-HPS-00208-91261-H-01,150,unset,50,60,0,0
30RK1,30RK1-14-CHS-60217-11001-C-01,350,unset,50,60,0,0
30RK1,30RK1-12-CHR-60230-11001-C-01,350,unset,50,60,0,0
30RK1,30RK1-2-LPC-60176-11011-W,50,unset,50,30,0,0
30RK1,30RK1-12-CWS-60414-17130-01,300,unset,50,60,0,0
30RK1,30RK1-12-CWR-60241-17130-01,300,unset,50,60,0,0
30RK1,30RK1-10-MPS-00107-11261-H-01,250,unset,50,60,0,0
30RK1,30RK1-2-MPC-00113-11011-H-01,100,unset,50,30,0,0
30RK1,30RK1-2-BFW-60152-61261-H-01,50,unset,50,30,0,0
30RK1,30RK1-4-EO-30210-13085-FX-01,100,unset,50,60,0,0
30RK1,30RK1-10-EO-30114-13085-FX-01,250,unset,50,30,0,0
30RK1,30RK1-20-P-20218-31042-H-01,500,unset,50,60,0,0
30RK1,30RK1-6-ETH-10134-33081-D-01,150,unset,50,60,0,0
30RK1,30RK1-2-P-xxxxx-13085-FX-01,50,unset,50,30,0,0
30RK1,30RK1-6-ETH-10111-33081-D-01,150,unset,50,60,0,0
30RK1,30RK1-3-RW-00112-11001-01,80,unset,50,30,0,0
30RK1,30RK1-4-P-30418-31011-H-01,100,unset,50,60,0,0
30RK1,30RK1-2-W-00206-11001-01,50,unset,50,60,0,0
30RK1,30RK1-3-IA-00205-13081,80,unset,50,30,0,0
30RK1,30RK1-10-FV-60901-11002KS-01,200,unset,50,60,0,0
30RK1,30RK1-3-P-20403-31042-H-01,50,unset,50,30,0,0
30RK1,30RK1-4-LPC-60122-11011-H-01,100,unset,50,60,0,0
30RK1,30RK1-4-LPC-60202-11011-H-01,100,unset,50,60,0,0
30RK1,30RK1-0.75-CA-00215-31008-H-01,20,unset,50,30,0,0
30RK1,30RK1-0.75-CA-00213-31008-H-01,20,unset,50,30,0,0
30RK1,30RK1-0.75-CA-00214-31008-H-01,20,unset,50,30,0,0
30RK1,30RK1-0.75-CA-00201-31008-H-01,20,unset,50,30,0,0
