TAG;PROGRESS
021200ML031;30
021200ML032;30
021200ML033;30
021200ML034;30
021200ML035;30
021200ML036;30
021200ML037;30
021200ML038;30
021200ML039;30
021200ML040;30
021200ML041;30
021200ML042;30
021200ML043;30
021200ML044;30
021200CV009A;30
021200CV010A;30
021200CV010B;30
021200CV009B;30
021200CV002A;30
021200CV005A;30
021200CV002B;30
021200CV005B;30
021200CV008A;30
021200CV008B;30
021103CV004;30
021200SI004A;30
021200SI005A;30
021200SI006A;30
021200SI004B;30
021200SI005B;30
021200SI006B;30
021103SI003;30
021200FR006;30
021200FR010;30
021200FR001;30
021200FR004;30
021200FR011;30
021200FR012;30
021200FR002;30
021200FR008;30
021200FR007;30
021200FR003;30
021200FR013;30
021200FA010;30
021200FA001;30
021200FA004;30
021200ML023;30
021200ML025;30
021200ML026;30
021200ML024;30
021200FA012;30
021200FA008;30
021200FA003;30
021200FA013;30
021200FR009;30
021200FR005;30
021200FA009;30
021200SC002A;30
021200SC001A;30
021200SC001B;30
021200SC002B;30
021200FA002;30
021200FA011;30
021200SC00_TAG1B;30
021200SC00_TAG1A;30
021200SC029B;30
021200SC029A;30
021200RF001;30
021200RF002;30
021200RF003;30
021200RF004;30
021200RF020;30
021200RF019;30
021200RF018;30
021200RF017;30
021200RF029;30
021200RF030;30
021200RF031;30
021200RF032;30
021200RF045;30
021200RF046;30
021200RF047;30
021200RF048;30
021200RF005;30
021200RF006;30
021200RF007;30
021200RF008;30
021200RF021;30
021200FA006;30
021200RF022;30
021200RF023;30
021200RF024;30
021200RF033;30
021200RF034;30
021200RF036;30
021200RF035;30
021200RF049;30
021200RF050;30
021200RF051;30
021200RF052;30
021200RF009;30
021200RF010;30
021200RF011;30
021200RF012;30
021200RF025;30
021200RF026;30
021200RF027;30
021200RF028;30
021200RF037;30
021200RF038;30
021200RF040;30
021200RF039;30
021200RF053;30
021200RF054;30
021200RF055;30
021200RF056;30
021200RF013;30
021200RF014;30
021200RF016;30
021200RF015;30
021200RF041;30
021200RF042;30
021200RF043;30
021200RF044;30
021200SC00_TAG3B;30
021200SC00_TAG3A;30
021200SC00_TAG5B;30
021200SC00_TAG5A;30
021200SC00_TAG4B;30
021200SC00_TAG4A;30
021200SC00_TAG6B;30
021200SC00_TAG6A;30
021200SC006B;30
021200SC004B;30
022-FML-EQ-SC/021200SC002B;30
022-FML-EQ-SC/021200SC002A;30
021200SC004A;30
021200FA005;30
021200SC005B;30
021200SC006A;30
021200SC005A;30
021200SC00_TAG7A;30
021200SC00_TAG7B;30
021200CV001B;30
021200CV001A;30
021200CV003A;30
021200CV003B;30
021200CV004A;30
021200CV004B;30
021200CV006B;30
021200CV006A;30
021200SI001;30
021200SC009;30
021200ML029;30
021200ML028;30
021200ML030;30
021200ML007;30
021200ML005;30
021200ML027;30
021200ML006;30
021200ML008;30
021200SC014;30
021200SC018;30
021200SC023;30
021200SC024;30
021200SC025;30
021200SC026;30
021200SC019;30
021200SC020;30
021200SC021;30
021200SC022;30
021200SC015;30
021200SC016;30
021200SC017;30
021200SC010;30
021200SC011;30
021200SC012;30
021200SC013;30
021200ML001;30
021200ML002;30
021200ML003;30
021200ML004;30
021200ML009;30
021200ML010;30
021200ML011;30
021200ML012;30
021200ML013;30
021200ML014;30
021200ML015;30
021200SI002;30
021200ML016;30
021200ML017;30
021200ML018;30
021200ML019;30
021200ML020;30
021200ML021;30
021200ML022;30
021204PM001;30
021204PM002;30
021204MM001;30
021204MM002;30
021204FR002;30
021204FR001;30
021801SI003;30
021801SI004;30
GRILLE_1;30
GRILLE_2;30
GRILLE_4;30
GRILLE_3;30
028-BPL-EQ-FA/FA001;30
028-BPL-EQ-FA/FA002;30
028-BPL-EQ-FA/FA003;30
028-BPL-EQ-FA/FA004;30
021801CV001;30
021801CV003;30
021801CV010;30
021801CV011;30
021801CV004;30
021801CV007;30
021801CV008;30
021801CV009;30
021204CV006;30
021804CV007;30
021204CV007;30
021602TK005;80
GLU-VWG-BLOWER3;30
GLU-VWG-BLOWER2;30
GLU-CLASSIFIER_MILL_2;30
GLU-CLASSIFIER_MILL_3;30
GLU-GEN-2;30
GLU-GEN-3;30
GLU-FUR-3;30
GLU-FUR-2;30
GLU-BLOWER3;30
GLU-BLOWER2;30
GLU-BLOWER1;30
WWG-DRYER-3;30
WWG-DRYER-2;30
WWG-DRYER-1;30
GLU3-VES-1;30
GLU1-VES-1;30
GLU-FUR-1;30
GLU-GEN-1;30
GLU-CLASSIFIER_MILL_1;30
GLU-VWG-BLOWER1;30
GLU-VWG-CLASSIFIER_MILL_1;30
GLU1-VES-2;30
GLU2-VES-2;30
GLU3-VES-2;30
GLU2-VES-1;30
GLU-VWG-CLASSIFIER_MILL_2;30
GLU-VWG-CLASSIFIER_MILL_3;30
021702PU017;30
021701PU001;30
021701PU005;30
021702HX001;30
021702HX002;30
