PDMS_LINENUMBER;PID;ISO;STRESS;SUPPORT
023A1-021403-200-WWG-10SS21-0016;50;30;0;0
A5-021601-150-WSH1-10SS21-0003;0;30;0;0
A5-021601-150-WSH1-10SS21-0001;0;30;0;0
Copy-of-A5-021601-150-WSH1-10SS21-0001;0;30;0;0
A5-021601-100-AV-10SU21-0014;0;30;0;0
Copy-of-Copy-of-A5-021601-150-WSH1-10SS21-0001;0;30;0;0
A5-021601-100-AV-10SU21-0015;0;30;0;0
A5-021601-100-AV-10SU21-0012;0;30;0;0
A5-021601-100-AV-10SU21-0013;0;30;0;0
A5-021601-100-AV-10SU21-0018;0;30;0;0
Copy-of-A5-021601-150-WSH1-10SS21-0003;0;30;0;0
=67127452/542;0;30;0;0
A5-021601-100-AV-10SU21-0016;0;30;0;0
=67127452/552;0;30;0;0
A5-021601-100-AV-10SU21-0017;0;30;0;0
A5-021601-150-WSH1-10SS21-0010;0;30;0;0
Copy-of-A5-021601-150-WSH1-10SS21-0010;0;30;0;0
Copy-of-Copy-of-A5-021601-150-WSH1-10SS21-0010;0;30;0;0
=67127452/641;0;30;0;0
=67127452/649;0;30;0;0
=67127452/653;0;30;0;0
=67127452/657;0;30;0;0
=67127452/661;0;30;0;0
A5-021601-150-WSH1-10SS21-0002;0;30;0;0
024A1-021404-150-WGL-10SS21-0003;50;60;0;0
024A1-021405-150-WGL-10SS21-0001;50;60;0;0
024A1-021405-150-WGL-10SS21-0006;50;60;0;0
024A1-021405-150-WGL-10SS21-0002;50;60;0;0
024A1-021403-150-WWG-16SS21-0037;50;60;0;0
024A1-021902-200-MS1-25CS21-0001;50;60;0;0
024A1-021403-150-WWG-16SS21-0034;50;60;0;0
024A1-021902-200-MS1-25CS21-0003;50;60;0;0
024A1-021902-200-MS1-25CS21-0002;50;60;0;0
024A1-021403-150-WWG-16SS21-0036;50;60;0;0
024A1-021404-150-WGL-10SS21-0001;50;60;0;0
024A1-021404-150-WGL-10SS21-0002;50;60;0;0
027A1/021702-150-WE-10SS21-0012;50;60;0;0
027A1/021908-HOLD-PA-10SS21-0026;50;60;0;0
027A1/021701-150-WE-10SS21-0016;50;60;0;0
027A1/021701-250-MS1-25CS22-0004;50;60;0;0
027A1/021701-100-SC-16CS22-0001;50;60;0;0
027A1/001704-150-WX-10SS21-0010;50;60;0;0
001000-200-WF-HOLD-0003;50;60;0;0
001000-200-WF-HOLD-0002;50;60;0;0
001000-150-WF-HOLD-0006;50;60;0;0
001000-150-WF-HOLD-0005;50;60;0;0
001000-150-WF-HOLD-0004;50;60;0;0
027A1/021702-150-WE-10SS21-0013;50;60;0;0
001000-150-WF-HOLD-0011;50;60;0;0
001000-150-WF-HOLD-0008;50;60;0;0
001000-150-WF-HOLD-0009;50;60;0;0
001000-150-WF-HOLD-0001;50;60;0;0
027A1/021925-150-CIP-10SS21-0004;50;60;0;0
027A1/021701-250-WE-10SS21-0029;50;60;0;0
027A1/021961-250-CWS2-10CS21-0009;50;60;0;0
027A1/021702-200-CWS1-10CS21-0002;50;60;0;0
