STATUS_DEFINITION,SITE_NAME,ZONE_NAME,ITEM_TYPE,ITEM_NAME,STATUS_VALUE
/TPI-FEED-PROGRESS/EQUI/VENDOR,/1300-INT-EQ,/1300-INT-EQ-GENERATOR,EQUI,/NEW-Diesel-power-generator,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/021-WPR-EQ,/021-WPR-EQ-GEN,EQUI,/021102BE101,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML002,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML025,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-CV,EQUI,/021200CV004B,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-RF,EQUI,/021200RF043,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML003,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML026,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-CV,EQUI,/021200CV004A,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML004,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML038,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-CV,EQUI,/021200CV003B,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-RF,EQUI,/021200RF039,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML016,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML031,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-CV,EQUI,/021200CV006A,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML009,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML039,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-CV,EQUI,/021200CV006B,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FML-EQ-RF,EQUI,/021200RF031,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML017,30
/TPI-FEED-PROGRESS/EQUI/VENDOR,/022-FLM-EQ,/022-FLM-EQ-ML,EQUI,/021200ML032,30
